h_AGL,w_cossin,w_shear,w_power,w_mil
0,0,0,0,0
2.002002002,0,1.574046858,2.209570492,0.00039557
4.004004004,0,2.491586327,2.538129989,0.001582216
6.006006006,0,3.028312509,2.752530325,0.003559752
8.008008008,0,3.409125796,2.915545743,0.006327864
10.01001001,0,3.704507529,3.048609947,0.009886114
12.01201201,0,3.945851978,3.161827056,0.014233939
14.01401401,0,4.149905802,3.26082483,0.019370651
16.01601602,0,4.326665265,3.349082599,0.025295438
18.01801802,0,4.48257816,3.428912188,0.032007362
20.02002002,0,4.622046998,3.501933231,0.039505361
22.02202202,0,4.748211908,3.569327503,0.047788248
24.02402402,0,4.863391447,3.631985538,0.056854713
26.02602603,0,4.969346352,3.690596214,0.066703322
28.02802803,0,5.067445271,3.745704119,0.077332516
30.03003003,0,5.15877318,3.797747733,0.088740613
32.03203203,0,5.244204734,3.847085672,0.100925809
34.03403403,0,5.324455342,3.894015229,0.113886174
36.03603604,0,5.400117629,3.93878579,0.127619659
38.03803804,0,5.471688013,3.981608745,0.142124091
40.04004004,5.69E-07,5.539586467,4.022664941,0.157397173
42.04204204,0.001478998,5.604171453,4.06211038,0.173436491
44.04404404,0.005800198,5.665751377,4.100080631,0.190239506
46.04604605,0.012963101,5.724593493,4.136694306,0.207803558
48.04804805,0.022965935,5.780930916,4.172055813,0.22612587
50.05005005,0.035806227,5.8349682,4.206257569,0.245203542
52.05205205,0.051480803,5.88688582,4.239381799,0.265033556
54.05405405,0.069985788,5.936843811,4.271502002,0.285612773
56.05605606,0.091316606,5.98498474,4.302684159,0.306937937
58.05805806,0.115467985,6.03143616,4.332987747,0.329005675
60.06006006,0.142433952,6.076312649,4.362466574,0.351812495
62.06206206,0.172207843,6.119717509,4.391169489,0.375354787
64.06406406,0.204782294,6.161744202,4.419140983,0.399628827
66.06606607,0.240149254,6.202477559,4.446421704,0.424630774
68.06806807,0.278299978,6.241994811,4.473048888,0.450356672
70.07007007,0.319225034,6.280366473,4.499056739,0.476802451
72.07207207,0.362914305,6.317657098,4.524476757,0.503963926
74.07407407,0.409356989,6.353925932,4.549338017,0.531836798
76.07607608,0.458541604,6.389227481,4.573667415,0.560416659
78.07807808,0.51045599,6.423612003,4.597489889,0.589698986
80.08008008,0.565087313,6.457125936,4.620828601,0.619679145
82.08208208,0.622422067,6.489812279,4.643705108,0.650352394
84.08408408,0.682446075,6.521710922,4.666139511,0.681713877
86.08608609,0.745144499,6.552858939,4.68815058,0.713758635
88.08808809,0.810501838,6.583290846,4.709755876,0.746481595
90.09009009,0.878501934,6.613038831,4.730971852,0.77987758
92.09209209,0.949127974,6.642132961,4.751813945,0.813941306
94.09409409,1.022362498,6.670601363,4.772296661,0.848667384
96.0960961,1.098187401,6.698470385,4.792433649,0.884050318
98.0980981,1.176583936,6.725764746,4.812237769,0.92008451
100.1001001,1.257532721,6.752507669,4.831721151,0.956764258
102.1021021,1.341013743,6.778720994,4.85089525,0.994083759
104.1041041,1.427006364,6.804425289,4.869770899,1.032037108
106.1061061,1.515489323,6.82963995,4.888358352,1.070618299
108.1081081,1.606440746,6.85438328,4.906667323,1.109821228
110.1101101,1.699838145,6.878672579,4.924707027,1.149639692
112.1121121,1.795658431,6.902524209,4.942486216,1.19006739
114.1141141,1.893877914,6.925953664,4.960013203,1.231097926
116.1161161,1.994472312,6.948975629,4.977295898,1.272724807
118.1181181,2.097416753,6.971604037,4.994341831,1.314941447
120.1201201,2.202685788,6.993852118,5.011158177,1.357741166
122.1221221,2.310253392,7.015732445,5.027751779,1.401117192
124.1241241,2.420092969,7.037256978,5.044129168,1.445062661
126.1261261,2.532177364,7.058437104,5.06029658,1.489570621
128.1281281,2.646478868,7.079283671,5.076259978,1.534634028
130.1301301,2.762969221,7.099807023,5.092025064,1.580245753
132.1321321,2.881619623,7.120017028,5.107597297,1.626398579
134.1341341,3.002400741,7.139923112,5.122981905,1.673085202